Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""Keranjang/TC-Cart-Show-002""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:42:24,2023-08-31 12:42:39,15.591s,PASSED
"click(findTestObject(""Keranjang/button_continue_shopping""))",Edge Chromium 116,,,2023-08-31 12:42:39,2023-08-31 12:42:40,0.377s,PASSED
"verifyElementPresent(findTestObject(""Products/title_product""), 0)",Edge Chromium 116,,,2023-08-31 12:42:40,2023-08-31 12:42:40,0.432s,PASSED
,,,,,,,
Test Cases/Keranjang/TC-Cart-Nav-002,Edge Chromium 116,User ingin melihat product yang telah ditambahkan ke dalam keranjang,,2023-08-31 12:42:40,2023-08-31 12:42:58,17.302s,PASSED
"data = callTestCase(findTestCase(""Keranjang/TC-Cart-Show-002""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:42:40,2023-08-31 12:42:56,15.428s,PASSED
"name_product_cart = data.get(""name_product"")",Edge Chromium 116,,,2023-08-31 12:42:56,2023-08-31 12:42:56,0.000s,PASSED
"description_product_cart = data.get(""description_product"")",Edge Chromium 116,,,2023-08-31 12:42:56,2023-08-31 12:42:56,0.001s,PASSED
"price_product_cart = data.get(""product_price"")",Edge Chromium 116,,,2023-08-31 12:42:56,2023-08-31 12:42:56,0.000s,PASSED
"click(findTestObject(""Keranjang/title_product""))",Edge Chromium 116,,,2023-08-31 12:42:56,2023-08-31 12:42:56,0.391s,PASSED
"detail_name_product = getText(findTestObject(""Detail Product/detail_name_product""))",Edge Chromium 116,,,2023-08-31 12:42:56,2023-08-31 12:42:57,0.502s,PASSED
"detail_description_product = getText(findTestObject(""Products/detail_description_product""))",Edge Chromium 116,,,2023-08-31 12:42:57,2023-08-31 12:42:57,0.359s,PASSED
"detail_price_product = getText(findTestObject(""Products/detail_product_price""))",Edge Chromium 116,,,2023-08-31 12:42:57,2023-08-31 12:42:58,0.349s,PASSED
"verifyMatch(detail_name_product, name_product_cart, false)",Edge Chromium 116,,,2023-08-31 12:42:58,2023-08-31 12:42:58,0.001s,PASSED
"verifyMatch(detail_description_product, description_product_cart, false)",Edge Chromium 116,,,2023-08-31 12:42:58,2023-08-31 12:42:58,0.001s,PASSED
"verifyMatch(detail_price_product, price_product_cart, false)",Edge Chromium 116,,,2023-08-31 12:42:58,2023-08-31 12:42:58,0.000s,PASSED
,,,,,,,
Test Cases/Keranjang/TC-Cart-Show-001,Edge Chromium 116,User can access cart page,,2023-08-31 12:42:58,2023-08-31 12:43:10,12.977s,PASSED
"callTestCase(findTestCase(""Login/TC-Login-Success-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:42:58,2023-08-31 12:43:09,11.332s,PASSED
"click(findTestObject(""Keranjang/icon_cart""))",Edge Chromium 116,,,2023-08-31 12:43:09,2023-08-31 12:43:10,0.384s,PASSED
"verifyElementVisible(findTestObject(""Checkout/button_checkout""))",Edge Chromium 116,,,2023-08-31 12:43:10,2023-08-31 12:43:10,0.604s,PASSED
"verifyElementVisible(findTestObject(""Keranjang/button_continue_shopping""))",Edge Chromium 116,,,2023-08-31 12:43:10,2023-08-31 12:43:10,0.375s,PASSED
,,,,,,,
Test Cases/Keranjang/TC-Cart-Show-002,Edge Chromium 116,"User can access cart page after ""add to cart"" 1 product",,2023-08-31 12:43:10,2023-08-31 12:43:26,15.663s,PASSED
"data_cart = callTestCase(findTestCase(""Products/TC-Product-AddCart-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:43:11,2023-08-31 12:43:24,13.973s,PASSED
"click(findTestObject(""Keranjang/icon_cart""))",Edge Chromium 116,,,2023-08-31 12:43:24,2023-08-31 12:43:25,0.436s,PASSED
"name_product_cart = getText(findTestObject(""Keranjang/name_product_cart""))",Edge Chromium 116,,,2023-08-31 12:43:25,2023-08-31 12:43:25,0.504s,PASSED
